职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
数据产品经理-智能分析方向,字节跳动招聘,20k-40k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
六险一金，弹性工作，免费三餐，租房补贴","
职位职责：
1、充分理解业务(如抖音、火山小视频、西瓜视频、今日头条等)，收集和挖掘业务需求，沉淀分析思路与框架，搭建分析体系，并将其产品化；
2、在波动分析&归因，预测，聚类场景下，有一定算法基础，能和数据分析师配合，提供各类分析场景下的算法设计，并将其抽象成通用能力提供到各业务中后台；
3、参与日常业务的数据分析工作，如对数据进行加工，挖掘数据指标间关联信息，并通过产品化形式反馈业务，指导业务决策；
4、承担数据平台相关运营工作，包括产品的推广，反馈，优化，项目管理等。

职位要求：
1、3年以上数据分析和产品设计经验，统计、数学、计算机相关专业优先；
2、熟练使用SQL及其他分析工具，对业界分析/AI产品有一定理解/经验，有一定算法基础；
3、善于思考，优秀的逻辑思维能力和解决问题能力；
4、对数据敏感，工作积极主动，乐于面临挑战。","上海 - 闵行区 - 宜山路1999号科技绿洲三期24号楼
","字节跳动
文娱丨内容
C轮
2000人以上
http://www.bytedance.com"
公共数据-数据产品经理,美团点评大数据与算法部招聘,28k-55k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
上市公司 大牛云集 弹性工作","
美团的使命是“帮大家吃得更好，生活更好”。作为中国领先的生活服务电子商务平台，公司拥有美团、大众点评、美团外卖、美团打车、摩拜单车等消费者熟知的App，服务涵盖餐饮、外卖、打车、共享单车、酒店旅游、电影、休闲娱乐等200多个品类，业务覆盖全国2800个县区市。2018年Q3,美团的总交易金额达1457亿元人民币，同比增加40%。截至2018年9月30日止过去十二个月，美团年度交易用户总数达3.8亿，平台活跃商家总数达550万。
2018年9月20日，美团点评（股票代码：3690.HK）正式在港交所挂牌上市。
当前，美团战略聚焦 Food +Platform，正以“吃”为核心，建设生活服务业从需求侧到供给侧的多层次科技服务平台。与此同时，美团正着力将自己建设成为一家社会企业，希望通过和党政部门、高校及研究院所、主流媒体、公益组织、生态伙伴等的深入合作，构建智慧城市，共创美好生活。

工作职责：
1.负责用户平台各业务线的埋点规范、需求管理、项目推进、质量措施，建立埋点到流量数据产出全生命周期管理
2.规划与设计面向流量数据生产的工具与产品，推动流量数据生产自动化
3.针对不同数据应用下游，提供对应的数据供应方案，提升数据应用效率

任职要求：
1.良好的数据敏感度，了解大数据相关的基础知识，熟悉常见的数据分析和处理方法
2.熟悉数据仓库知识，熟悉流量数据生产、收集、处理、加工过程
3.对于数据生产过程中，对数据最终供应质量的影响因素有清晰认知
4.能够根据用户的对数据的应用场景，明确任务优先级，合理安排落地节奏
5.自我驱动力强，面对复杂情况能够独立工作，跨团队与部门的沟通能力强，有较强的团队协作意识和能力
6.熟悉互联网产品，有数据分析及分析工具的使用经验
7.有后台系统产品经验或相关设计思考优先
8.有SQL、Python技能经验

岗位亮点：
负责美团点评每日数百亿级流量数据采集与管理，和团队完成全公司流量核心数据的治理，深度负责大数据的采集、处理与应用。","北京 - 朝阳区 - 望京研发园F/G座
","美团点评
消费生活
上市公司
2000人以上
http://www.meituan.com"
数据产品经理,作业帮一课产品中心招聘,20k-40k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
五险一金、一日三餐、交通补助、","
基于业务场景和业务数据做相关的分析，直接推动业务的增长，间接提高业务的生产力，不局限于简单的底层数据分析","北京 - 海淀区 - 西二旗 - 开拓路1号汇苑开拓大厦A座4层
","作业帮
工具
D轮及以上
Coatue、高盛、春华资本、红杉中国、GGV纪源资本、襄禾资本、天图投资、NEA、泰合资本(D轮及以上)，H Capital、老虎基金、红杉、君联、GGV、襄禾(C轮)，GGV（纪源资本）(B轮)，作业帮独立分拆，引入由红杉、君联领投的A轮融资(A轮)
2000人以上
http://www.zybang.com"
数据产品经理,凤凰金融产品中心招聘,20k-40k,/北京 /,经验5-10年 /,本科及以上 /,全职,"
七险一金 十五天假期 十五薪","
职位描述
1、负责信贷数据层相关系统或服务的整体规划，数据产品的需求分析和管理、产品设计迭代等；
2、深入理解业务的基础上，熟悉信贷数据全流程生命周期，对信贷全业务线底层数据进行设计规划，不断提升数据层服务的稳定性、效率和扩展性，支持各类用户对大数据的复杂需求；
3、响应管理层、商务、运营、风控等各业务部门的数据需求，跨部门沟通，统一进行系统规划，并推动项目落地；
4、能够产出高质量的产品原型和文档，推动项目的开发、测试，参与测试、验收和上线；
5、关注数据及业务场景变化并进行分析，与业务、数据分析、产品、技术开发等团队密切合作，协同推进产品的持续更新迭代；
 
任职要求
1、统招本科及以上，两年及以上数据产品经验；
2、拥有大数据、客户/企业画像，用户标签等领域产品经验，对数据分析、数据产品有见解和实践经验；
3、良好的跨部门跨团队沟通协调能力、项目管理能力、分析和解决问题的能力、自我驱动力；
4、计算机、统计、数学等相关专业优先，研发背景优先，有大型数据系统规划经验者优先；
 ","北京 - 朝阳区 - 望京 - 来广营朝来高科技产业园18号院18号楼
","凤凰金融
金融
A轮
500-2000人
http://www.fengjr.com"
小米 数据产品经理,小米招聘,18k-35k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
六险一金，股票期权，团队氛围，成长空间","
【岗位职责】
1、深入理解商业化业务，负责商业化数据平台搭建，包括需求沟通、产品设计、研发推进、测试与发布等整个流程
2、对接多个业务团队，跨团队沟通协调，共同推进项目完成
3、不断探索和挖掘商业化数据产品模式，能够从数据产品层影响业务，辅助和指导业务决策
  【任职要求】
1、本科及以上学历，计算机、数学、统计相关专业优先
2、对数据敏感，有较强的数据分析和理解能力
3、熟练查询Hive SQL
4、熟练使用Office办公软件，至少掌握一种原型设计工具（Axure、Sketch等）
5、有数据产品相关经验优先","北京 - 海淀区 - 上地 - 安宁庄东路72号 科利源大厦
","小米
硬件
D轮及以上
2000人以上
http://www.mi.com"
数据产品经理,途牛旅游网数据事业部招聘,12k-24k,/南京 /,经验5-10年 /,本科及以上 /,全职,"
发展前景，福利待遇，工作氛围","
岗位职责
1.熟悉互联网主流大数据应用场景，熟悉基于用户和产品模型的数据挖掘和应用方法，负责途牛在用户、销售、服务等业务出口的数据应用规划与设计工作；
2.负责诊断公司各业务体系的数据使用诉求，建设途牛内部数据平台，整合数据分析方法，驱动公司内部运营效率提升；
3.负责与业务、研发进行沟通、推动项目进展，高效交付数据产品；
4.参与制定与完善途牛数据的应用设计规范与流程。

任职要求
1.   思维严谨、沟通和学习能力强，对主流大数据产品应用及发展趋势有清晰的认识,根据公司战略和市场研究、不断挖掘数据相关需求，优化产品；
2.  精通产品规划、分析、设计、开发、测试、上线、运营全生命周期管理；熟悉数据仓库，具有两个以上大型数据应用项目经验佳；
3.  具备较强的数据分析能力和清晰的分析思路，工作承担和执行力，擅于表达，具备快速的问题诊断能力；
4.  对数据高度敏感、具有数据分析、竞品分析能力者佳;有数据分析相关工具使用经验者佳(熟悉R、SPSS）;
5.  本科以上学历，5年以上相关产品工作经验，有OTA/供应链/ERP/商家平台相关行业经验者优先。","南京 - 玄武区 - 玄武大道699-32号途牛大厦
","途牛旅游网
电商,旅游
上市公司
2000人以上
http://www.tuniu.com"
大数据产品经理,数字广东（腾讯投资公司）数据管理与开发部招聘,13k-25k,/广州 /,经验3-5年 /,本科及以上 /,全职,"
发展空间大,领导好,公司平台广,岗位晋升","
职责描述：
1、根据数字政府顶层设计和公司战略规划，负责政务大数据应用产品的设计、建设与优化；
2、负责政务大数据产品研究，规划产品方向和功能，设计和构建基于政务应用场景特征的大数据应用服务能力；
3、独立完成大数据应用产品的策划、原型、产品流程和交互设计，推进各类应用系统产品化进程；
4、关注产品的用户需求、政务业务场景及体验、数据及场景变化并进行分析，持续完善和优化已有的产品功能。

任职要求：
1、有3年以上大数据产品工作经验，有产品管理、需求分析、功能设计等经验者优先；
2、熟悉大数据应用产品开发模式，有从需求、产品研究、数据分析、产品迭代的全周期实践经验，对用户体验和客户需求有把握和权衡能力；
3、拥有互联网商业化数据产品开发、设计经验、数据敏感度和分析能力，可以通过数据驱动业务；
4、优秀的领导力、推动力、以及分析问题和解决问题的能力，对解决具有挑战性问题充满激情。","广州 - 天河区 - 石牌 - 黄埔大道西120号高志大厦20楼
","数字广东（腾讯投资公司）
移动互联网
不需要融资
500-2000人
http://www.digitalgd.com.cn/"
全域大数据产品经理,零壹互联招聘,20k-30k,/深圳 /,经验3-5年 /,本科及以上 /,全职,"
大数据 平台 物联网","
1. 思考在物联网体系模型下的大数据平台，如何进行产业数据智能，建设“全域数据平台”，实现“万物数字化”，联合云平台，思考从IaaS到PaaS，锻造DaaS能力。
2. 面向多样化、标准化、可连接的物联网数据，构建能力平台，支撑全域物联业务体系，探索未来数据应用生态。
3. 探索可信任的数据共享模式，密切关注数据安全和隐私，隔离。
4. 基于场景，考虑提供大脑引擎等数据智能解决方案。
5. 具备一定的文案包装能力。


职位要求：
1. 良好的产品规划，5年以上产品设计或分析经验，具备良好的数据敏感度、业务视野、调研分析能力，能够敏锐的捕获数据价值和产品机会，再产出MRD、DEMO和PRD
2. 熟悉数据、数据技术及大数据开发工具，对数据采集及集成、数据建模、数据开发、数据资产管理、数据分析等大数据领域或机器学习等领域有实战经验。
3. 良好的项目落地与团队协作能力，能够组织跨团队协作、推动甚至直接负责项目如期落地；能够与运营协作制定数据产品的推广及运营策略等。","深圳 - 龙岗区 - 坂田 - 坂田街道星河领创天下二期3楼
","零壹互联
移动互联网,消费生活
B轮
1000万人民币天使轮到位。(天使轮)
150-500人
http://www.0easy.com"
【公安大数据业务】大数据产...,海致招聘,15k-30k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
弹性工时、扁平化管理、丰厚的福利待遇","
岗位职责：
1、规划公司大数据产品工作，包括规划产品发展方向、评估需求可行性和优先级等
2、能够深入了解公司业务，把控自己所负责方向的产品质量，包括指标全面性、正确性，以及产品易用性，保证产品优质快速交付，把 BI 数据分析平台做大做强。
3、负责公司各业务线数据运营后台的报表功能设计（包括指标定义、指标计算方法、报表展示样式等），并将其抽象设计为通用化的产品能力。
4、设计数据处理规范，对业务数据进行深入分析或预测，从而指导业务优化
5、负责与数据分析相关的其他产品工作

 

职位要求：
1、正规全日制本科及以上学历，数学、统计学、计算机、通信工程等理工科专业
2、三年及以上的数据分析或数据后台设计相关经验，有大数据后台建设分析经验优先考虑
3、担任过团队核心成员
4、优秀的学习能力和对数据分析强烈的热情，相信数据改变世界
5、优秀的逻辑思维能力、沟通和协调能力","上海 - 静安区 - 镇宁路 - 武宁南路1号越商大厦
","海致
移动互联网,企业服务
C轮
君联资本领投；IDG资本，晨兴资本及金融数据服务企业万得资讯跟投(C轮)
150-500人
http://www.haizhi.com/"
大数据产品经理,优阅互动产品部招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
待遇丰厚，餐补房补，临近地铁，弹性工作","
岗位职责
1、负责大数据产品的垂直行业营销模型搭建工作
2、建立和完善的用户营销画像的评估方案；包含采集、标签、分析体系，提供有驱动力的数据分析与洞察，并推动相关方案落地
3、持续进行垂直行业市场的调研、分析；将行业知识运用到大数据产品中，产出可行的产品方案
4、对接客户完成产品落地 

任职资格
1、本科及以上学历，一年以上工作经验，强进取心
2、有大数据相关经验或者较强的快速学习能力
3、能快速学习陌生行业知识，适应快节奏的产品迭代
4、在用户画像、推荐系统方面有兴趣的优先
5、对算法有一定认知的优先
6、欢迎对垂直行业客户理解较深或者客户拜访服务经验多的同学
7、有excel处理能力","北京 - 海淀区 - 中关村东路1号院清华科技园创业大厦1106
","优阅互动
移动互联网
A轮
50-150人
http://www.cdlianmeng.com/"
